Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB SP Comete,Bra,Bra,12.0,1632.0,0.0,0.0,654.0,13.6,59.59,964.4,1618.4,N/A,,,35a335fc-3940-40eb-9700-70ebaaf5172e
LBB EL Matilda Plum,Bra and Panty Set,SET,5.0,410.0,0.0,0.0,162.0,0.0,60.49,248.0,410.0,N/A,,,88c543d3-784d-4c5c-9a04-2f12d7490fd3
LBB CK Victory Bra,Bra,Balcony,5.0,385.0,0.0,0.0,151.8,0.0,60.57,233.2,385.0,N/A,,,dc9c3538-5f79-4e7b-874b-58e46d1df81e
LBB AUB Danse Mulb,Daywear,general,4.0,582.0,0.0,0.0,191.9,30.4,65.21,359.7,551.6,N/A,,,260bc9fc-5368-408f-8bbb-f275d8551fea
LBB AUB Sense Illusion,SET,Bra and Panty Set,4.0,648.0,0.0,0.0,214.78,0.0,66.85,433.22,648.0,N/A,,,dc2aaca5-8658-4096-8602-ab7d4e591cc0
LBB EL Nerina PL,general,general,4.0,328.0,0.0,0.0,129.6,0.0,60.49,198.4,328.0,N/A,,,00a466c8-90a7-46f5-99f6-1272158fefdb
LBB CK Stardust,Bra and Panty Set,SET,4.0,324.0,0.0,0.0,128.0,0.0,60.49,196.0,324.0,N/A,,,64323d38-76d9-4392-a866-b6d5e8c32caa
LBB EL Cate Allure,Bra,Underwire,4.0,314.0,0.0,0.0,123.38,0.0,60.71,190.62,314.0,N/A,,,9d4ba93a-567c-48b3-80cd-f6d029d88371
LBB EL Nerina Fash,Bra and Panty Set,SET,4.0,281.0,0.0,0.0,110.7,0.0,60.6,170.3,281.0,N/A,,,f6ede82d-e423-4346-9f7a-5ffaabcd4c55
LBB CH Norah Flex,Bra,Full Coverage,3.0,366.0,0.0,0.0,120.96,0.0,66.95,245.04,366.0,N/A,,,0f80c5ab-a5d2-49bb-950d-b8203954cfd5
LBB DVT Floradora,Set,3 PC,3.0,273.0,0.0,0.0,90.0,27.3,63.37,155.7,245.7,N/A,,,575aeaae-ae32-4914-b442-e0bad4bdf66e
Euc Lingerie Wash Unscented 3.3oz,Lingerie Wash,Lingerie Wash,3.0,21.0,0.0,0.0,9.0,0.0,57.14,12.0,21.0,N/A,,,4052c08d-f1c7-474a-8815-0366924106e0
LBB CH Norah Violet,Bra,Bra,3.0,357.0,0.0,0.0,118.08,0.0,66.92,238.92,357.0,N/A,,,812d7905-dd82-465d-b5b0-560b9ef6e3ed
LBB AUB Rosesse Fash,Bra and Panty Set,SET,3.0,505.0,0.0,0.0,166.81,0.0,66.97,338.19,505.0,N/A,,,9fc2f935-a741-4918-8307-387e940ba719
LBB SP Strapless,Bra,Strapless,3.0,306.0,0.0,0.0,114.5,0.0,62.58,191.5,306.0,N/A,,,9135cf0f-d8c1-4228-ba9f-ee7cad782c0a
LBB SP Subtile ,Bra,Moulded,3.0,273.0,0.0,0.0,108.0,0.0,60.44,165.0,273.0,N/A,,,34b2aea8-f209-4e4d-9bdd-e32d6950a65a
LBB CH Norah,Bra,general,3.0,357.0,0.0,0.0,78.72,0.0,77.95,278.28,357.0,N/A,,,f990c395-414d-4841-b783-0ec672b23cd9
LBB EL Kintai Fash,Set,Bra and Panty,3.0,234.0,0.0,0.0,91.8,0.0,60.77,142.2,234.0,N/A,,,56c5db73-c479-4eaa-a186-4361f4147cf1
LBB SP Andora Bra,Bra,moulded,3.0,378.0,0.0,0.0,150.0,0.0,60.32,228.0,378.0,N/A,,,f491dbe3-525e-4b57-a580-a95e872779b9
Euc Lingerie Wash Lavender 3.3oz,Lingerie Wash,Lingerie Wash,3.0,21.0,0.0,0.0,9.0,0.0,57.14,12.0,21.0,N/A,,,5a76d71b-6695-4fe2-8744-bbfaffc0f818
CK Victory Bra Nude 40K,Bra,Balcony,3.0,210.0,0.0,0.0,80.7,0.0,61.57,129.3,210.0,-3.0,Curvy Kate,CK9001,7C880232-E58A-4B37-AB74-432D56354AA1
LBB EL Nerina ,Set,Bra and Panty,3.0,246.0,0.0,0.0,97.2,0.0,60.49,148.8,246.0,N/A,,,51d1cce1-2c20-4ba1-b889-2ddeccff0418
Shipping,general,general,2.0,19.98,0.0,0.0,0.0,0.0,100.0,19.98,19.98,0.0,not tracked,,37BC9CA8-C5FD-4A70-911F-6460BCDCE911
LBB SP Precieuse,Bra and Panty Set,SET,2.0,328.0,0.0,0.0,108.5,0.0,66.92,219.5,328.0,N/A,,,07ac2da4-4c27-4f29-8d70-a51e6fb649a6
Euc Lingerie Wash Grapefruit 16.9oz,Lingerie Wash,Lingerie Wash,2.0,42.0,0.0,0.0,16.0,0.0,61.9,26.0,42.0,N/A,,,ae4745c7-96ab-4741-ab2c-21ae543a4f69
LBB AUB Into the Groove,Lingerie,Set,2.0,351.0,0.0,0.0,116.2,0.0,66.89,234.8,351.0,N/A,,,964bb072-c8dc-4596-9662-d98a3003e198
LBB SP CARESSE Plunge,Bra,Plunge,2.0,262.0,0.0,0.0,104.0,0.0,60.31,158.0,262.0,N/A,,,fd7acf01-fb8e-4719-8998-9274af452707
LBB BDL Nara Teal,Set,Set,2.0,637.0,0.0,0.0,212.52,0.0,66.64,424.48,637.0,N/A,,,9bed9478-5c09-4aa2-8495-aa2f6276d879
LBB BDL Syra,Lingerie,Set,2.0,493.0,0.0,0.0,163.34,0.0,66.87,329.66,493.0,N/A,,,0a2427f0-1432-4794-b612-9338ec8ad91f
LBB DVT Harlow,Set,3 PC,2.0,199.0,0.0,0.0,65.25,0.0,67.21,133.75,199.0,N/A,,,5f4fde6b-b840-413c-8aa2-d0cae1aeca83
LBB MC Deniers Back Seam,Hosiery,Thigh High,2.0,120.0,0.0,0.0,43.35,0.0,63.88,76.65,120.0,N/A,,,8e0d86f0-db45-4c03-b7e1-0e32b7bb7682
LBB EL Energise Sports Bra,Sports Bra,general,2.0,150.0,0.0,0.0,60.3,0.0,59.8,89.7,150.0,N/A,,,d70c41ad-66ee-498c-83f8-f9e9f99d2af8
Euc Lingerie Wash Eucalyptus 3.3oz,Lingerie Wash,Lingerie Wash,2.0,14.0,0.0,0.0,6.0,0.0,57.14,8.0,14.0,N/A,,,edb96197-c08e-43b6-b5ff-9c417607bcb7
LBB EL Zarla Saph,Bra,set,2.0,124.0,0.0,0.0,47.25,0.0,61.9,76.75,124.0,N/A,,,3413473c-f806-476b-8afe-db83d8734f05
Euc Lingerie Wash Grapefruit 3.3oz,Lingerie Wash,Lingerie Wash,2.0,14.0,0.0,0.0,6.0,0.0,57.14,8.0,14.0,N/A,,,d1ac3656-04b1-4ca5-b496-15a896730f76
LBB CH Norah Chic,Bra,general,1.0,122.0,0.0,0.0,40.32,0.0,66.95,81.68,122.0,N/A,,,ac1ebd3b-6224-48c7-acac-bf5e14b497ec
LBB DVT Plume,Set,Set,1.0,120.0,0.0,0.0,45.0,0.0,62.5,75.0,120.0,N/A,,,a7f08237-5ccf-4cff-8889-d02276ce1bfa
LBB ESC Diana,Set,set,1.0,81.0,0.0,0.0,27.0,0.0,66.67,54.0,81.0,N/A,,,52d0a36e-1b5f-41d2-8f9f-2381082fb953
LBB SP Andora Plunge ,Bra,Plunge,1.0,131.0,0.0,0.0,52.0,0.0,60.31,79.0,131.0,N/A,,,9dc7313b-95d3-4239-aed6-7d1c3999d22b
LBB CH Maris,Bra,Full Cup,1.0,120.0,0.0,0.0,47.04,0.0,60.8,72.96,120.0,N/A,,,ccea5ccb-5945-483d-a4b4-34a520fb36de
LBB ML Hypnotic Black,Bra and Panty Set,general,1.0,63.0,0.0,0.0,25.2,0.0,60.0,37.8,63.0,N/A,,,dae89f10-5e86-49aa-8bbb-7806f87aa193
LBB ESC Nikita O-Bra,Bra,Open Bra,1.0,260.0,0.0,0.0,65.0,0.0,75.0,195.0,260.0,N/A,,,309e11cd-dd33-4407-966a-ef404011c5f5
LBB CK Flora  Bra,Bra,Balcony,1.0,85.0,0.0,0.0,29.55,0.0,65.24,55.45,85.0,N/A,,,a527d5be-78e9-4b8c-baf6-e96692714fda
LBB AUB Rules Golden,Set,Bra and Panty,1.0,206.0,0.0,0.0,68.22,0.0,66.88,137.78,206.0,N/A,,,466f0a55-c481-4206-a724-cb80fe07b075
LBB MC 20 deniers BLK,Hosiery,Thigh High,1.0,39.0,0.0,0.0,12.0,3.9,65.81,23.1,35.1,N/A,,,433117c0-0c86-459d-8cb8-d23ea84384a6
LBB SC Embrace ,Bra and Panty Set,general,1.0,56.0,0.0,0.0,20.9,0.0,62.68,35.1,56.0,N/A,,,c42b626a-730a-4a1b-afc9-adc705179586
LBB OH Eyelash robe ,Robe,Robe,1.0,80.0,0.0,0.0,17.0,0.0,78.75,63.0,80.0,N/A,,,d948a523-2eff-4f5b-b61f-41a8b390a17c
LBB AU Dans Garter,Lingerie,general,1.0,131.0,0.0,0.0,43.57,0.0,66.74,87.43,131.0,N/A,,,647d523e-e54c-4773-81d5-5133425d53c8
LBB CK WonderFull ,Set,Set,1.0,80.0,0.0,0.0,26.73,0.0,66.59,53.27,80.0,N/A,,,be00e419-7424-4b64-a47e-460fd044b04d
Euc Lingerie Wash Jasmine 16.9oz,Lingerie Wash,Lingerie Wash,1.0,21.0,0.0,0.0,8.0,0.0,61.9,13.0,21.0,N/A,,,5bce7b12-979d-4ed1-ac80-4d865c89efe2
LBB CH Norah Spacer,Bra,Moulded ,1.0,115.0,0.0,0.0,38.02,0.0,66.94,76.98,115.0,N/A,,,aada1b6c-287b-43f7-ab20-cfb4e9c9039f
LBB EL MorganSG,Set,Bra and Panty,1.0,82.0,0.0,0.0,32.4,0.0,60.49,49.6,82.0,N/A,,,950dab7c-61ae-4de0-a636-1aa70b33da54
LBB EL Smoothie,Bra,Moulded ,1.0,76.0,0.0,0.0,29.25,0.0,61.51,46.75,76.0,N/A,,,4eeb6ff7-1594-4b49-b21f-a45b333b1a8a
LBB CH JOLIE,Bra,Bra,1.0,117.0,0.0,0.0,38.54,0.0,67.06,78.46,117.0,N/A,,,8f6cdada-c2ed-4df3-8665-32be4615cbc8
LBB AUB Danse Pink,Bar & Panty Set,general,1.0,91.0,0.0,0.0,30.37,18.2,58.28,42.43,72.8,N/A,,,19796bd4-3a3c-40be-805a-d78b1e24b7f5
LBB SC Opulence,Body,general,1.0,114.0,0.0,0.0,41.85,0.0,63.29,72.15,114.0,N/A,,,8ac53557-aefa-4089-bc09-77dd4a6baa27
LBB Va Bien Bustier Nude,Bustier,Bustier,1.0,105.0,0.0,0.0,41.83,0.0,60.16,63.17,105.0,N/A,,,b5586723-720b-4613-be89-b88d278b74e4
LBB EP Melody ,Bra ,general,1.0,254.0,0.0,0.0,101.0,0.0,60.24,153.0,254.0,N/A,,,6dd18118-5d0b-40e4-b7d2-396bf1bb99df
